FECHA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,latitud,longitud
2015-01-23 21:20:00,Solo daños,Choque,0,0,1,10.9232564,-74.8014046
2015-01-23 10:30:00,Solo daños,Choque,0,0,1,11.0144984,-74.7942546
2015-01-23 11:50:00,Solo daños,Choque,0,0,1,10.9880889,-74.7879924
2015-01-24 14:05:00,Solo daños,Choque,0,0,1,10.9830068,-74.7863393
2015-01-24 15:10:00,Solo daños,Choque,0,0,1,10.9991116,-74.8222857
2015-01-24 17:00:00,Solo daños,Choque,0,0,1,11.0041072,-74.80698129999999
2015-01-24 17:20:00,Solo daños,Choque,0,0,1,10.948341,-74.7734581
2015-01-24 18:00:00,Solo daños,Choque,0,0,1,10.988168,-74.7913432
2015-01-24 18:10:00,Solo daños,Choque,0,0,1,10.9925809,-74.8065998
2015-01-24 18:45:00,Solo daños,Choque,0,0,1,10.8920125,-74.8223564
2015-01-24 08:10:00,Solo daños,Choque,0,0,1,11.0056752,-74.7890986
2015-01-24 10:00:00,Solo daños,Choque,0,0,1,10.9556643,-74.8006091
2015-01-24 10:30:00,Solo daños,Choque,0,0,1,10.9891594,-74.821338
2015-01-24 23:00:00,Solo daños,Choque,0,0,1,11.0066116,-74.8167591
2015-01-24 11:29:00,Solo daños,Choque,0,0,1,11.0007488,-74.819319
2015-01-24 11:30:00,Solo daños,Choque,0,0,1,10.9928412,-74.8113844
2015-01-24 12:20:00,Solo daños,Choque,0,0,1,11.0260863,-74.8040546
2015-01-24 12:30:00,Solo daños,Choque,0,0,1,10.9925809,-74.8065998
2015-01-25 01:15:00,Solo daños,Choque,0,0,1,10.9938169,-74.8087984
2015-01-25 04:50:00,Con heridos,Choque,5,0,1,10.951605,-74.8107544
2015-01-25 17:10:00,Solo daños,Choque,0,0,1,10.9230751,-74.8075115
